"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009060","aerobic respiration","111/4935","183/11956",0.60655737704918,1.46950354609929,5.36586487409321,8.05463295800161e-08,0.000224753644206889,0.000185227008447783,"MLXIPL/IDH1/ACLY/CAT/BNIP3/NNT/NDUFA4/ATP5MG/NDUFS5/DLD/MDH1/COX7B/PINK1/NDUFV1/PDHB/NDUFB6/DNAJC15/ATP5PF/IDH2/NDUFA5/UQCRC2/COX8A/RHOA/NDUFS4/ABCD1/NDUFA2/CS/SHMT2/ATP5F1E/NDUFS2/UQCR10/CYCS/NDUFB9/COX4I1/ND3/NDUFB11/ARL2/COX7A2/UQCRB/NDUFB4/SUCLG1/SLC25A23/NDUFS3/PPIF/IDE/NDUFA1/COX6C/COX6B1/COX6A1/DGUOK/COX5A/MDH2/CHCHD2/ATP5F1A/NDUFA6/COX7A2L/ATP5MF/UQCRFS1/UQCRH/NDUFAB1/NDUFB2/ACO1/SURF1/NDUFA12/CYC1/MTFR2/NDUFB7/OXA1L/FXN/ATP5F1B/COX2/MACROH2A1/ACO2/NDUFB5/IDH3G/AK4/NDUFV3/SDHAF2/ATP5F1C/MTFR1L/OGDH/ATP7A/NDUFC2/OGDHL/DHTKD1/ND4L/CDK1/NDUFA10/NDUFA3/COA6/COX5B/ATP5ME/HIF1A/NDUFB3/ATP5PD/COX7C/CBFA2T3/DNAJC30/UQCC2/GHITM/SDHC/IDH3B/UQCRQ/ATP5PO/PARK7/COX15/FH/ATPSCKMT/ND5/COX1/NDUFS6",111
"GO:0051046","regulation of secretion","211/4935","388/11956",0.543814432989691,1.31749652701616,5.33021324458706,8.43353261564313e-08,0.000224753644206889,0.000185227008447783,"KDM5B/SCIN/FER1L4/ADCY5/PPP3CA/SLC4A8/PTGES/MYO18A/INHBB/PER2/SERP1/NHERF1/CXCL12/MPC2/CADPS2/ADAM9/ABAT/PCK2/ADRA2C/RAB12/TIAM1/RAB27B/ANKRD1/TGFB2/S100A10/GAL/RAB26/SEPTIN2/LIF/SLC38A2/IER3IP1/CYBA/PPID/SGK1/SYT7/EGFR/NPY5R/HIP1R/STX1A/DOC2A/UCP2/PPIA/RHBDF2/PPFIA2/RAB9A/PINK1/ADORA1/EDN1/KCNMB4/PFKL/ENSA/CRY1/SOX4/SELENOT/WNK4/TNFRSF1A/AACS/GPR68/ANO1/GABBR1/TCIRG1/P2RX4/CLASP2/TMEM132A/JAK2/RAB21/ERBB3/SNX4/UNC13D/TM7SF3/CRY2/PPARG/MIDN/TMED10/CDK5/VAMP8/BAD/TSPO/BRAF/SLC30A1/ADAM8/KCNN4/STK39/RAB5A/TSG101/ALOX5/ADA/GPER1/SCAMP5/GNAI2/PNKD/BMAL1/EFNA5/TARDBP/ENY2/IL4R/BMP6/PFN2/SDC1/NR1H2/PIM3/SPINK1/SLC12A2/VPS4A/PICK1/GJA1/PRKD1/FBXL20/SEC24A/IL11/ITGB2/SREBF1/STX4/HGS/C2CD2L/LLGL2/ADORA2B/IRS1/SLC16A1/GIPR/PASK/ZP3/ANXA2/TGFB1/DPH3/GATA2/VAMP3/INHA/SNF8/RALA/PFKFB2/FRMD4A/POFUT2/ACSL4/DTNBP1/RIMS3/CLASP1/CBARP/RHBDF1/PLA2G6/APOE/RAB27A/PCLO/ABCG1/WNK1/CDK16/HMGCR/SDC4/RPH3AL/SERGEF/STXBP5/CASK/DVL1/VPS35/PTAFR/SYT12/ALOX12B/CD2AP/TMF1/WDR41/SYP/SDCBP/C1QTNF3/GOLPH3L/S100A8/RAB7A/GPR27/GIT1/GNA11/ILDR1/SMPD3/PTGER3/RIMS4/TLR2/HAP1/PDPK1/HIF1A/ATP2A2/RAP1B/APBB3/RFX3/SMCR8/CPLX1/RAB13/RAP1A/PDE8B/PRKAR1A/PFKM/LRRC8A/SLC30A8/UQCC2/SYT6/DNAJC1/RAB8B/BAIAP3/HCAR2/FOXO1/PLCB1/BMP8A/RHBDD3/STC1/GRK2/MYO6/HLA-DRB1/VAMP2/KCNJ11/NADK/MYB/LRP5/FGB/SYT1",211
"GO:0010038","response to metal ion","143/4935","251/11956",0.569721115537849,1.38026051821084,5.10447721574006,2.98872035205637e-07,0.00032985832003712,0.000271847293278345,"TFF1/AQP3/CLDN1/ASS1/CYP1A1/PPP3CA/FBP1/TXNIP/INHBB/MT2A/ADAM9/ABAT/ATP7B/NDRG1/CAT/BNIP3/CACNA1H/CAV1/AKT1/PRNP/JUNB/CPNE7/ANXA11/THBS1/HSP90B1/SLC11A2/CDH1/SYT7/EGFR/SLC39A8/AHCYL1/ALAD/UCP2/TFRC/CALM3/PLSCR1/EDN1/KMT2A/KCNMB4/CDKN1B/CALM1/SHH/DMTN/TCIRG1/P2RX4/MAPK3/HAAO/MDM2/ITPR3/TNFRSF11B/CEBPA/MAPK9/TSPO/JUND/BRAF/SLC30A1/SLC1A1/STK39/SLC25A23/LOXL2/PPIF/TFAP2A/PPP2CB/CUTA/SMPD1/TERT/ATF1/CALM2/BMP6/CASP9/ITPKA/SDC1/ADCY7/SLC12A2/S100A16/DNMT3A/PAM/CACNA1G/CLIC4/AKR1C3/PPP2CA/NEDD4/SUMO1/NPTX1/ANK3/ACO1/GIPR/GPHN/PEF1/OGG1/GPI/SLC25A13/CHUK/PDCD6/PPP1CA/SLC30A3/MECP2/ADD1/B2M/FXN/TUBA1A/EIF2AK3/G6PD/TF/TH/EEF2K/ATP7A/EIF2S1/CAMK2D/CDK1/SYT12/MT1F/STIM1/LGMN/TIGAR/S100A8/IMPA2/SMPD3/HNRNPD/NQO1/ALG2/PPP5C/RASAL1/HIF1A/RASA4/TNNT2/DTYMK/ALOX15/PTH/BCL2/ZACN/SLC30A8/TESMIN/SYT6/CPNE3/PARK7/SLC41A1/COX1/SLC25A24/CRIP1/PKD2/FGB/SYT1",143
"GO:0010035","response to inorganic substance","203/4935","376/11956",0.539893617021277,1.30799758563453,5.08751657431796,3.01468448587121e-07,0.00032985832003712,0.000271847293278345,"TFF1/AQP3/AREG/RHOB/CLDN1/ASS1/CYP1B1/CYP1A1/BMP7/CAPN2/PPP3CA/FBP1/TXNIP/INHBB/MT2A/ADAM9/ABAT/NET1/ATP7B/NDRG1/CAT/BNIP3/CACNA1H/CAV1/AKT1/SLC38A2/PRNP/STAT6/JUNB/CPNE7/ANXA11/THBS1/HSP90B1/SLC11A2/CDH1/SYT7/ANKZF1/EGFR/SPHK1/SLC39A8/COL18A1/AHCYL1/ALAD/COMT/UCP2/MAP3K5/MB/PINK1/TFRC/ADORA1/CALM3/PLSCR1/EDN1/KMT2A/KCNMB4/CDKN1B/TP53/KLF4/CALM1/DDX11/KDM6B/SHH/DMTN/TCIRG1/P2RX4/MAPK3/HAAO/MDM2/ITPR3/TNFRSF11B/CEBPA/MAPK9/TSPO/JUND/BRAF/SLC30A1/SLC1A1/RTF2/STK39/ATP2B4/ADA/SLC25A23/LOXL2/PPIF/PPP1R15B/TFAP2A/PPP2CB/CUTA/SMPD1/TERT/ATF1/CALM2/BMP6/CASP9/TNFAIP3/ITPKA/PRDX1/SDC1/ADCY7/ZC3H12A/TXN/MAPK13/ATP5F1A/SLC12A2/S100A16/DNMT3A/PAM/SCGB1A1/CACNA1G/SELENOW/CLIC4/AKR1C3/PPP2CA/ERN1/NEDD4/SUMO1/NPTX1/ANK3/ACO1/GIPR/GPHN/PRDX3/PEF1/OGG1/GPI/GART/SLC25A13/CHUK/PDCD6/PPP1CA/SLC30A3/MECP2/ADD1/MAP1B/ALPL/IL18BP/B2M/FXN/TUBA1A/EIF2AK3/G6PD/TF/HNRNPA1/TH/SOD1/SETX/EEF2K/BAK1/ATP7A/EIF2S1/CAMK2D/CBX8/CCNA2/CDK1/SYT12/AIFM1/HDAC2/PLEKHA1/MT1F/STIM1/LGMN/TIGAR/S100A8/IMPA2/SMPD3/HNRNPD/NQO1/ALG2/PPP5C/RASAL1/HIF1A/TXNRD2/RASA4/TNNT2/DHFR/DTYMK/ALOX15/SPIDR/STK24/UCP3/PTH/BCL2/ZACN/SLC30A8/TESMIN/SYT6/CRK/CPNE3/PARK7/FOXO1/PLCB1/PRKCD/KRT8/STK26/ND5/SLC41A1/COX1/SLC25A24/CRIP1/MYB/PKD2/FGB/SYT1",203
"GO:0001568","blood vessel development","255/4935","487/11956",0.523613963039014,1.26855694875268,5.07290793227856,3.09435572267467e-07,0.00032985832003712,0.000271847293278345,"RHOB/NRCAM/NRP1/CDH5/SULF1/CYP1B1/CD47/BMP7/KCNJ8/EFNB2/BCAS3/CX3CL1/PLXND1/MYH9/SAT1/EPAS1/GLUL/AMOTL1/STRA6/KLF5/ANXA3/FKBP10/PDGFB/VEGFA/B4GALT1/TGFBI/PTK7/TGFB2/PIK3R3/STARD13/TNFAIP2/ZFP36L1/HIPK2/CAV1/ACKR3/COL5A1/PKD1/AKT1/ADGRB1/SLC31A1/EFNA1/JUNB/HK2/QKI/SEMA6A/HOXA1/THBS1/HPGD/VAV3/NOTCH3/COL4A3/ID1/AMOT/SIX1/CEMIP2/SPHK1/COL18A1/CRKL/BAX/EGR3/RNH1/NDST1/EPHB4/COMT/LRG1/JAG1/EDN1/ADIPOR2/YJEFN3/KLF4/SEMA3C/SOX4/SHH/HDAC7/CUL7/NINJ1/PLCD3/RHOA/AMOTL2/ADM/EPN1/WARS1/MDM2/NRARP/SASH1/SNX17/DAG1/TIPARP/CREB3L1/MEGF8/ACTA2/PPARG/EGR1/COL27A1/LDLR/TBX2/EPN2/PAK4/HIPK1/LARGE1/SLC1A1/ADAM8/PXDN/ATP5IF1/UNC5B/ERBB2/ATP2B4/DLL1/ALOX5/CITED2/GPER1/SPINT1/ADM2/LOXL2/VEZF1/SLC2A10/CCN1/S100A7/CTSH/RAPGEF3/NAGLU/TERT/PDCL3/TNFAIP3/SEMA5A/ADAM15/HSPB1/ROCK1/ZC3H12A/SLC12A2/DDAH1/MAP2K1/GJA1/HOXA5/HSPG2/PRKD1/STK4/SEC24B/SGPL1/EPGN/RAMP1/CLIC4/PTGIS/HGS/NOTCH2/EPHA2/PRKD2/FBXW8/JUP/SRPK2/GRN/JAK1/HIF1AN/SOCS3/MED1/ANXA2/TGFB1/PIK3C2A/SPRED1/ITGAV/GATA2/SMAD7/BRCA1/SMAD6/TBX3/PDCD6/SCG2/TMED2/ACTG1/PRCP/MECP2/ITGB1BP1/EDN2/RUNX1/FBXW7/ATP5F1B/EIF2AK3/MAP2K5/FGFR2/APOE/FOXO4/NSDHL/SP100/WNK1/E2F2/NIBAN2/PLCG1/GPNMB/FZD4/RLN2/MESP1/VAV2/BTG1/ANGPTL4/NR4A1/MFGE8/BAK1/DYNC2H1/ATP7A/ZMIZ1/MYDGF/IL6R/TGFBR1/HECTD1/SP1/EFEMP2/VEGFB/STIM1/PLPP3/SHC1/RIN2/TGFA/AGGF1/JMJD8/FLT4/EPHB2/BMPR1A/HS6ST1/FZD5/PDPK1/HIF1A/APOLD1/MMP19/FLVCR1/RAP1A/HES1/HOXA13/GBX2/ALDH1A2/AP2B1/CARD10/DDIT3/NGFR/CALD1/VASH1/TAB1/ERAP1/FMNL3/CXCL17/ATF2/FOXO1/PKM/KRIT1/EPHA1/PTPRJ/CCM2/SEMA3E/PKD2/ITGA2B/PKNOX1/LRP5/EMILIN1/C5AR1/MYO1E/ZNF304",255
"GO:0006119","oxidative phosphorylation","84/4935","134/11956",0.626865671641791,1.51870435058749,5.06227454174921,4.15504803042621e-07,0.000365181910105265,0.000300958647352478,"MLXIPL/NDUFA4/ATP5MG/NDUFS5/DLD/COX7B/PINK1/NDUFV1/NDUFB6/DNAJC15/ATP5PF/NDUFA5/UQCRC2/COX8A/RHOA/NDUFS4/ABCD1/NDUFA2/SHMT2/ATP5F1E/NDUFS2/UQCR10/CYCS/NDUFB9/COX4I1/ND3/NDUFB11/COX7A2/UQCRB/NDUFB4/SLC25A23/NDUFS3/PPIF/NDUFA1/COX6C/COX6B1/COX6A1/DGUOK/COX5A/CHCHD2/ATP5F1A/NDUFA6/COX7A2L/ATP5MF/UQCRFS1/UQCRH/NDUFAB1/NDUFB2/NDUFA12/CYC1/NDUFB7/FXN/ATP5F1B/COX2/MACROH2A1/NDUFB5/AK4/NDUFV3/SDHAF2/ATP5F1C/ATP7A/NDUFC2/ND4L/CDK1/NDUFA10/NDUFA3/COA6/COX5B/ATP5ME/NDUFB3/ATP5PD/COX7C/DNAJC30/UQCC2/GHITM/SDHC/UQCRQ/ATP5PO/PARK7/COX15/ATPSCKMT/ND5/COX1/NDUFS6",84
"GO:1903530","regulation of secretion by cell","195/4935","361/11956",0.54016620498615,1.30865798314375,4.99246030789421,4.91589768955031e-07,0.000365181910105265,0.000300958647352478,"KDM5B/FER1L4/ADCY5/PPP3CA/SLC4A8/PTGES/MYO18A/INHBB/PER2/SERP1/CXCL12/MPC2/CADPS2/ADAM9/ABAT/PCK2/ADRA2C/RAB12/TIAM1/RAB27B/ANKRD1/TGFB2/S100A10/GAL/RAB26/SEPTIN2/LIF/SLC38A2/IER3IP1/PPID/SYT7/EGFR/NPY5R/STX1A/DOC2A/UCP2/PPIA/RHBDF2/PPFIA2/RAB9A/PINK1/ADORA1/EDN1/KCNMB4/PFKL/ENSA/CRY1/SOX4/SELENOT/TNFRSF1A/AACS/GPR68/ANO1/GABBR1/TCIRG1/P2RX4/CLASP2/TMEM132A/JAK2/RAB21/SNX4/UNC13D/TM7SF3/CRY2/PPARG/MIDN/TMED10/CDK5/VAMP8/BAD/TSPO/BRAF/SLC30A1/ADAM8/KCNN4/RAB5A/TSG101/ALOX5/GPER1/SCAMP5/GNAI2/PNKD/BMAL1/EFNA5/TARDBP/ENY2/IL4R/BMP6/PFN2/SDC1/NR1H2/PIM3/SPINK1/SLC12A2/VPS4A/PICK1/GJA1/PRKD1/FBXL20/SEC24A/IL11/ITGB2/SREBF1/STX4/HGS/C2CD2L/LLGL2/ADORA2B/IRS1/SLC16A1/GIPR/PASK/ZP3/ANXA2/TGFB1/DPH3/GATA2/VAMP3/INHA/SNF8/RALA/PFKFB2/FRMD4A/ACSL4/DTNBP1/RIMS3/CLASP1/CBARP/RHBDF1/PLA2G6/APOE/RAB27A/PCLO/ABCG1/CDK16/HMGCR/SDC4/RPH3AL/SERGEF/STXBP5/CASK/DVL1/VPS35/PTAFR/SYT12/CD2AP/TMF1/WDR41/SYP/SDCBP/C1QTNF3/GOLPH3L/RAB7A/GPR27/GIT1/GNA11/ILDR1/SMPD3/RIMS4/TLR2/HAP1/PDPK1/HIF1A/ATP2A2/RAP1B/APBB3/RFX3/SMCR8/CPLX1/RAB13/RAP1A/PDE8B/PRKAR1A/PFKM/LRRC8A/SLC30A8/UQCC2/SYT6/DNAJC1/RAB8B/BAIAP3/HCAR2/FOXO1/PLCB1/BMP8A/RHBDD3/GRK2/HLA-DRB1/VAMP2/KCNJ11/NADK/MYB/LRP5/FGB/SYT1",195
"GO:0009611","response to wounding","200/4935","372/11956",0.537634408602151,1.30252421261344,4.96959751622376,5.48115437306214e-07,0.000365181910105265,0.000300958647352478,"CDKN1A/CLDN1/NRP1/CSRP1/CERS2/PPP3CA/INHBB/ZFP36L2/NFKBIZ/CX3CL1/CD109/MYL12A/MYH9/SLC7A11/PAPSS2/ITGB5/CD9/ADRA2C/FKBP10/PDGFB/VEGFA/B4GALT1/BNIP3/PTK7/TGFB2/S100A10/SLC1A2/TFPI/CLEC7A/ZFP36L1/CAV1/TMPRSS4/COL5A1/LMAN1/CHMP6/KLK6/THBS1/DGKE/VAV3/MSX2/SYT7/FUNDC2/TNC/SCRIB/BAX/NREP/COMT/PPIA/LRG1/FZD7/RAC1/PLSCR1/EDN1/ADIPOR2/ITPK1/KLF4/TPM1/TFPI2/SHH/DMTN/P2RX4/ARFGEF1/RHOA/CLASP2/JAK2/CTNNA1/DDR1/ACTB/F11R/ANXA5/CASP7/ITGB6/CLDN4/PLAUR/DST/ERBB3/AGER/PPL/RIPOR1/DAG1/AHNAK/PPARG/MAPK9/AJUBA/TSPO/BRAF/DSP/MAPK8IP3/SLC1A1/CLIC1/GNAS/AK3/ABHD2/ERBB2/VAV1/CHMP7/ALOX5/VCL/NFIA/HRAS/CCN1/OCLN/FZD6/SMPD1/NAGLU/CYP4F11/TNFAIP3/PABPC4/F12/HSPB1/MACF1/DCBLD2/SLC12A2/SOX2/ST3GAL4/VPS4A/MAP2K1/LNPK/HGFAC/SERPINE2/CHMP3/NOTCH2/GIPR/GRN/ANXA2/GGCX/TGFB1/PDIA2/ITGAV/GATA2/TXN2/NFIB/ACTG1/PRCP/MAP1B/DTNBP1/CLASP1/BLOC1S3/PPARD/APOE/EPHA4/RAB27A/DGKH/SDC4/VAV2/SOD1/CARMIL2/TEC/CLDN3/FUT10/ATP7A/CASK/NMNAT1/CDK1/TGFBR1/PDIA3/SH2B3/PPARA/ARHGAP35/ENPP4/RTN4RL1/EPB41L4B/ZFP36/DGKQ/PUM2/PLPP3/TIMP1/GIT1/EXT1/EPHB2/FBLN1/RHOC/TLN1/CORO1B/FLRT3/ARL8B/HIF1A/GRIN2C/CD151/CHMP1A/HPS5/BLOC1S4/DHFR/ALOX15/STK24/INPP5F/TMX1/DDIT3/BCL2/VASH1/CRK/LRIG2/AJAP1/ENTPD2/PRKCD/EPPK1/SRSF6/CHMP5/EMILIN1/FGB",200
"GO:0007015","actin filament organization","192/4935","359/11956",0.534818941504178,1.29570319445268,4.76924127771969,1.4731633381263e-06,0.000767840189772035,0.000632802826487351,"RHOB/SCIN/PREX1/NRP1/LIMCH1/CD47/TACSTD2/DLC1/DSTN/ARHGAP18/CX3CL1/FHOD1/MARCKS/CXCL12/FAT1/ITGB5/MYADM/COTL1/S100A10/BCAR1/NEDD9/CFL2/VASP/TPM4/SHTN1/MICAL2/CAP2/RND1/SHROOM3/DBN1/HSP90B1/RHPN1/ARPC1A/PLS1/SH3D21/BAIAP2L1/CDC42EP1/EVL/NCK2/HIP1R/MEGF9/PPP1R9B/PYCARD/RNH1/SYNPO/ZYX/RAC1/AP1AR/PXN/LCP1/GSN/BRK1/TPM1/RHOU/ARPC3/PFN1/DMTN/CYFIP2/ARFGEF1/CARMIL1/MYO1B/RHOA/PAK2/CLASP2/JAK2/F11R/RHOH/LIMA1/CAPZB/CARMIL3/TWF1/STMN1/LIMK1/TMOD2/RHOV/BRAF/CTTN/WDR1/ARPC5/TTC17/RHOD/MSRB1/TRIM27/RAPGEF3/BIN3/SPTBN1/TMSB10/EPS8/ARHGAP17/WASHC3/SEMA5A/RHOBTB2/PFN2/CORO1A/PAWR/TLE6/ROCK1/HIP1/TMSB4X/PLS3/PACSIN1/WASHC5/PICK1/CYRIB/FLII/IQGAP3/SLC9A1/CDC42EP5/SPIRE2/MICAL3/CGNL1/ARHGEF2/MARCKSL1/ACTL8/GAS2L1/ARPC5L/MTPN/ENAH/ACTG1/ABI2/ADD1/ITGB1BP1/MICALL2/ARF1/SVIL/CLASP1/PIK3R1/SHROOM1/RDX/TF/FSCN1/DIAPH2/ALDOA/SDC4/RHOF/CARMIL2/JMY/SPTB/PPFIA1/ARFIP2/PRKCI/KPTN/TGFBR1/SPTAN1/NEBL/ARHGAP35/CD2AP/FHDC1/HAX1/CFL1/ESPN/TPM2/SPATC1L/FER/ARPC2/RHOC/MSRB2/CORO1B/BIN1/RND2/MYO7A/ALOX15/MET/CAPG/BCL2/KANK3/CORO7/CALD1/DIAPH3/BAIAP2/CCDC88A/NEB/SPTBN2/SYNPO2/LATS1/SORBS3/ARPC4/ELMO3/PRKCD/NF2/ABITRAM/MYO6/ASAP3/COBL/ALMS1/EPHA1/TNFAIP1/SSH1/DLG1/ARHGEF10L/TTC8/MYO1E",192
"GO:0008202","steroid metabolic process","118/4935","205/11956",0.575609756097561,1.39452689846047,4.77677755950182,1.57746250120815e-06,0.000767840189772035,0.000632802826487351,"LSS/DHRS2/CYP1B1/CYP1A1/MALRD1/SQLE/ESR1/ACADVL/ACLY/PBX1/CAT/DHCR7/MVD/GAL/CACNA1H/STS/HSD17B4/PRLR/FDFT1/MVK/SULT2B1/PCSK9/LDLRAP1/YWHAH/APP/AKR1C1/FAXDC2/AKR1C2/INSIG1/FDPS/DHRS4/SCP2/SHH/CYB5R1/SLC27A2/SOAT1/ACAA2/ADM/LIMA1/NR3C1/FGFR4/EBP/DISP3/SNX17/ASAH1/TIPARP/CEBPA/EGR1/LDLR/OSBPL9/TSPO/HSD17B10/ABCA2/OSBPL7/CBR1/HMGCS1/PIP4P1/CLN8/SMPD1/ERRFI1/BMP6/ABCD3/PRKAG2/CYP26B1/SGPL1/ACAA1/SREBF1/ARV1/AKR1C3/SEC14L2/ATP8B1/HSD17B8/IDI1/SULT1A1/MBTPS1/EPHX2/HSD17B11/MED1/MSMO1/STUB1/BDH1/MECP2/PLPP6/PPARD/G6PD/APOE/SREBF2/NSDHL/TTC39B/UGT2B15/ABCG1/ABCA5/HMGCR/SOD1/ERG28/CYP4V2/ACOX2/CYP26A1/SF1/PLEKHA1/NFE2L1/DGKQ/AKR1B1/HSD17B12/LGMN/LBR/CLN6/HSD17B7/UGT1A7/SLC27A5/ATP1A1/PDE8B/STAT5B/SRD5A1/HSD17B14/SDR42E1/LRP5/DHCR24",118
"GO:0070482","response to oxygen levels","148/4935","267/11956",0.554307116104869,1.34291709830797,4.7508899853995,1.69884626008127e-06,0.000767840189772035,0.000632802826487351,"AQP3/CDKN1A/CYP1A1/BMP7/KCNJ8/CAPN2/DDIT4/CXCL12/SLC2A1/EPAS1/ABAT/NDRG1/VEGFA/CAT/BNIP3/TGFB2/ZFP36L1/HIPK2/CAV1/LIF/PLOD1/AKT1/DIO3/HYOU1/HK2/ATP6V1A/CD24/THBS1/HSP90B1/GUCY1A2/ALAD/COMT/UCP2/MB/PINK1/TFRC/ADORA1/CBS/EDN1/LMNA/CDKN1B/TP53/SOX4/ACAA2/ADM/MDM2/AGER/RAD21/ATP6V0D1/NDUFS2/ENO1/TMBIM6/PPARG/EGR1/TBL2/BAD/AJUBA/PIN1/SLC1A1/ADAM8/FOSL2/CBL/ADA/CITED2/MALAT1/ASCL2/HILPDA/CA9/LOXL2/TFAM/STC2/HMOX2/TERT/CASP9/ADAM15/PDK3/CHCHD2/ATP6V0A2/SOX2/DDAH1/EGLN2/DNMT3A/CPEB4/PICK1/HSPG2/PDK1/LIMD1/SLC9A1/PTGIS/FAS/FOXO3/TGFB1/TXN2/MYC/ERCC2/STUB1/SUV39H2/MECP2/BRIP1/ATM/BNIP2/PPARD/COX2/FGFR2/IRAK1/EPHA4/APAF1/AK4/TH/FZD4/FUNDC1/ANGPTL4/EEF2K/CLDN3/ATP7A/NOL3/CCNA2/AIFM1/HDAC2/PPARA/EGLN3/VEGFB/TIGAR/HP1BP3/PLOD2/VHL/TLR2/ATP6V1G1/HIF1A/TXNRD2/SLC7A5/BIRC2/WTIP/CBFA2T3/UCP3/BCL2/MDM4/ATF2/FOXO1/STC1/TMEM199/ND5/NPEPPS/KCNJ11/COX1/MYB/CYGB/AGTRAP",148
"GO:0032970","regulation of actin filament-based process","157/4935","286/11956",0.548951048951049,1.32994098100481,4.73481191791887,1.81103297176859e-06,0.000767840189772035,0.000632802826487351,"SCIN/PREX1/NRP1/LIMCH1/CD47/TACSTD2/DLC1/DSTN/ARHGAP18/BCAS3/CX3CL1/FHOD1/CXCL12/MYH9/MYADM/COTL1/S100A10/CAV1/NEDD9/CFL2/VASP/CELSR1/RND1/DSC2/RHPN1/BAIAP2L1/CDC42EP1/EVL/NCK2/HIP1R/MEGF9/PYCARD/RNH1/SYNPO/RAC1/ADORA1/AP1AR/EDN1/PXN/GSN/BRK1/TPM1/ARPC3/PFN1/DMTN/CYFIP2/ARFGEF1/CARMIL1/RHOA/PAK2/CLASP2/F11R/LIMA1/DSG2/CAPZB/CARMIL3/TWF1/STMN1/ACTA2/LIMK1/TMOD2/BRAF/DSP/CTTN/WDR1/ARPC5/RHOD/HRAS/EFNA5/TRIM27/RAPGEF3/SPTBN1/TMSB10/EPS8/ARHGAP17/WASHC3/SEMA5A/PFN2/CORO1A/ROCK1/TMSB4X/WASHC5/PICK1/PRKD1/CYRIB/FLII/SLC9A1/CDC42EP5/JUP/CGNL1/ARPC5L/MTPN/RALA/AKAP9/FRMD6/ACTG1/ABI2/ADD1/ITGB1BP1/ARF1/SVIL/CLASP1/PIK3R1/RDX/FSCN1/CDK10/ABL2/SDC4/RHOF/CARMIL2/SPTB/PPFIA1/ARFIP2/PDE4D/CAMK2D/CTNNA3/TGFBR1/SPTAN1/ATP2A1/ARHGAP35/CD2AP/DAPK3/HAX1/FER/ARPC2/ABRACL/RHOC/CORO1B/ATP2A2/DVL2/DVL3/BIN1/RND2/ALOX15/MET/CAPG/KANK3/BAIAP2/CCDC88A/NEB/SPTBN2/SYNPO2/LATS1/CRK/SORBS3/PRKCD/NF2/ABITRAM/STC1/ASAP3/ALMS1/EPHA1/SSH1/HCN4/DLG1/ARHGEF10L/TTC8",157
"GO:0071692","protein localization to extracellular region","142/4935","255/11956",0.556862745098039,1.3491086079822,4.72430622182997,1.94507598731642e-06,0.000767840189772035,0.000632802826487351,"ADCY5/KCNJ8/PPP3CA/SLC4A8/MYO18A/INHBB/PER2/SERP1/MPC2/ADAM9/ABAT/PCK2/FAM3B/RAB12/TIAM1/ANKRD1/TGFB2/GAL/AP1S1/IER3IP1/PPID/SYT7/EGFR/ARFGAP3/IL1RN/STX1A/COMT/UCP2/PPIA/RHBDF2/CANX/PFKL/ENSA/SOX4/SELENOT/FBN2/AACS/PDIA4/GPR68/ANO1/TCIRG1/STEAP3/VGF/TMEM132A/JAK2/AP1M2/TM7SF3/PPARG/RCN3/MIDN/TMED10/BAD/ADAM8/KCNN4/UBE2Q1/ALOX5/GPER1/BMAL1/EFNA5/TARDBP/LTBP1/ENY2/NBL1/BMP6/NR1H2/PIM3/SLC12A2/PICK1/SEC24A/SREBF1/STX4/C2CD2L/LLGL2/IRS1/SLC16A1/GIPR/TGFB1/DPH3/SMAD2/PFKFB2/FRMD4A/ACSL4/SCG2/TMED2/MIA2/BLOC1S3/RHBDF1/PLA2G6/RAB11B/APOE/GNPTAB/PCLO/ABCG1/CDK16/PAFAH1B1/HMGCR/SVBP/RPH3AL/SERGEF/STXBP5/CAVIN1/VPS35/ARL4D/CD2AP/AP1B1/C1QTNF3/GOLPH3L/GPR27/GNA11/TLR2/HIF1A/APBB3/MAFA/RFX3/NECAB3/CPLX1/RAB13/COPG2/PDE8B/PRKAR1A/PFKM/LRRC8A/SLC30A8/UQCC2/SEL1L/PORCN/RAB11FIP2/DNAJC1/RAB8B/BAIAP3/PARK7/HCAR2/FOXO1/PLCB1/BMP8A/RHBDD3/HLA-DRB1/KCNJ11/NADK/TVP23A/LRP5/FGB",142
